"Gyeonggi-do","35-39 Years old",1074259,537506,536753,100.10
"Gyeonggi-do","40-44 Years old",1059502,533139,526363,101.30
"Gyeonggi-do","45-49 Years old",992903,507910,484993,104.70
"Gyeonggi-do","50-54 Years old",837407,429542,407865,105.30
"Gyeonggi-do","55-59 Years old",544701,273813,270888,101.10
"Gyeonggi-do","60-64 Years old",409903,198526,211377,93.90
"Gyeonggi-do","65-69 Years old",340181,155571,184610,84.30
"Gyeonggi-do","70-74 Years old",287751,124663,163088,76.40
"Gyeonggi-do","75-79 Years old",195126,75760,119366,63.50
"Gyeonggi-do","80-84 Years old",106859,34224,72635,47.10
"Gyeonggi-do","85 Years old & over",68650,18492,50158,36.90
"Gyeonggi-do","14 and under",2032016,1048741,983275,106.70
"Gyeonggi-do","15 - 64 Years old",8165470,4142119,4023351,103.00
"Gyeonggi-do","65 Years old",998567,408710,589857,69.30
"Gyeonggi-do","Mean age",36.2,35.3,37.1,-
"Gyeonggi-do","Median age",36.6,35.9,37.3,-
"Gangwon-do","Total",1463650,735075,728575,100.90
"Gangwon-do","0-4 Years old",61847,31913,29934,106.60
"Gangwon-do","5-9 Years old",71908,37512,34396,109.10
"Gangwon-do","10-14 Years old",95714,49675,46039,107.90
"Gangwon-do","15-19 Years old",102384,55000,47384,116.10
"Gangwon-do","20-24 Years old",92984,54670,38314,142.70
"Gangwon-do","25-29 Years old",85501,47241,38260,123.50
"Gangwon-do","30-34 Years old",91411,46584,44827,103.90
"Gangwon-do","35-39 Years old",110150,56133,54017,103.90
"Gangwon-do","40-44 Years old",117177,60341,56836,106.20
"Gangwon-do","45-49 Years old",121477,61751,59726,103.40
"Gangwon-do","50-54 Years old",124021,62321,61700,101.00
"Gangwon-do","55-59 Years old",93016,46372,46644,99.40
"Gangwon-do","60-64 Years old",69649,33319,36330,91.70
"Gangwon-do","65-69 Years old",72062,32575,39487,82.50
"Gangwon-do","70-74 Years old",68047,29868,38179,78.20
"Gangwon-do","75-79 Years old",44810,17227,27583,62.50
"Gangwon-do","80-84 Years old",25239,7894,17345,45.50
"Gangwon-do","85 Years old & over",16253,4679,11574,40.40
